id,fecha_utc,latitud,longitud,profundidad_km,magnitud,tipo_magnitud,lugar
us7000luu5,2024-01-29 20:37:30.395,-31.4819,-69.2746,111.732,4.3,mwr,"21 km SE of Calingasta, Argentina"
us7000lv61,2024-01-31 04:25:00.973,-21.2467,-67.658,227.965,4.1,mb,"61 km E of Ollagüe, Chile"
us7000lv62,2024-01-31 04:25:26.609,-20.9376,-70.4645,61.666,4.6,mb,"80 km SSW of La Tirana, Chile"
us7000lvhs,2024-01-31 21:38:28.230,-23.0039,-66.4105,228.041,4.5,mb,"78 km WNW of El Aguilar, Argentina"
us7000lw6n,2024-02-02 05:31:11.165,-18.2566,-69.7215,122.868,4.6,mb,"58 km SSE of Palca, Peru"
us7000lw9r,2024-02-02 10:05:44.271,-21.4295,-66.6451,223.004,4.7,mb,"70 km SW of Atocha, Bolivia"
us7000lwkh,2024-02-03 00:48:55.152,-32.7449,-70.6118,93.864,4.8,mb,"9 km N of Los Andes, Chile"
us7000lwpb,2024-02-03 08:17:56.314,-17.5517,-72.4592,35.0,4.2,mb,"72 km SSW of Islay (Matarani), Peru"
us7000lwv2,2024-02-04 03:41:40.710,-21.5641,-68.417,150.442,4.2,mb,"41 km SSW of Ollagüe, Chile"
us7000lwv3,2024-02-04 04:02:45.093,-19.3635,-69.6054,113.096,4.8,mww,"19 km WSW of Camiña, Chile"
us7000lx8x,2024-02-06 03:19:39.177,-23.0415,-67.7508,165.064,4.3,mb,"48 km ESE of San Pedro de Atacama, Chile"
us7000lxaf,2024-02-06 10:35:44.678,-17.8444,-69.301,144.564,4.3,mb,"70 km E of Palca, Peru"
us7000lxip,2024-02-07 12:17:23.171,-20.4357,-68.8712,120.427,4.5,mb,"82 km E of La Tirana, Chile"
us7000lxkc,2024-02-07 15:47:50.643,-22.4544,-67.4817,10.0,4.6,mb,"89 km NE of San Pedro de Atacama, Chile"
us7000lxmt,2024-02-07 22:04:14.404,-38.1762,-72.4175,64.099,3.7,mb,"9 km NW of Victoria, Chile"
us7000lxq9,2024-02-08 10:07:23.937,-31.7855,-69.7264,141.946,4.1,mb,"57 km SSW of Calingasta, Argentina"
us7000lxux,2024-02-08 21:22:26.460,-19.7834,-69.1569,102.574,4.1,mb,"59 km SSE of Camiña, Chile"
us7000ly4u,2024-02-09 22:17:04.649,-18.0931,-73.4949,19.533,5.0,mb,"182 km SSW of Camaná, Peru"
us7000ly6i,2024-02-10 02:23:52.508,-24.066,-66.9086,215.146,4.3,mb,"62 km WNW of San Antonio de los Cobres, Argentina"
us7000lyi6,2024-02-11 21:14:43.394,-28.2449,-71.2847,33.936,5.4,mww,"63 km NW of Vallenar, Chile"
us7000lymz,2024-02-12 13:19:50.682,-23.8145,-67.9975,143.718,4.3,mb,"102 km SSE of San Pedro de Atacama, Chile"
us7000lytf,2024-02-12 23:25:58.347,-18.3843,-71.4353,25.723,4.0,mwr,"82 km S of Pacocha, Peru"
us7000lyv4,2024-02-13 06:31:49.329,-27.8806,-66.777,153.53,4.4,mb,"39 km ESE of Londres, Argentina"
us7000lyxl,2024-02-13 17:02:34.660,-27.5247,-71.3415,14.525,4.6,mb,"101 km W of Copiapó, Chile"
us7000lz23,2024-02-14 01:31:41.819,-28.8913,-71.4208,28.0,5.8,mww,"73 km WSW of Vallenar, Chile"
us7000lz4e,2024-02-14 08:11:15.515,-24.2525,-67.1028,202.884,4.3,mb,"79 km W of San Antonio de los Cobres, Argentina"
us7000lzbf,2024-02-15 04:00:53.745,-21.7165,-68.4059,122.085,4.4,mb,"56 km SSW of Ollagüe, Chile"
us7000lzib,2024-02-15 23:59:35.778,-29.166,-71.8496,9.519,5.0,mww,"100 km NNW of Coquimbo, Chile"
us7000lzjv,2024-02-16 06:27:38.814,-19.6782,-71.0225,6.452,4.8,mwr,"105 km WSW of Cuya, Chile"
us7000lznk,2024-02-16 15:50:57.480,-32.7329,-70.6135,88.467,4.3,mb,"10 km E of San Felipe, Chile"
us7000lzub,2024-02-17 08:52:12.383,-24.1459,-67.0701,180.498,4.2,mb,"76 km W of San Antonio de los Cobres, Argentina"
us7000lzw7,2024-02-17 19:24:44.094,-24.3316,-66.9807,199.969,4.0,mb,"68 km W of San Antonio de los Cobres, Argentina"
us7000lzxx,2024-02-18 01:29:24.900,-28.8667,-71.3301,30.192,3.8,mwr,"64 km WSW of Vallenar, Chile"
us7000m01n,2024-02-18 17:50:51.424,-22.2073,-68.6531,114.566,4.4,mwr,"39 km NE of Calama, Chile"
us7000m04k,2024-02-19 07:17:56.120,-17.5342,-70.1281,133.032,4.1,mb,"5 km S of Chucatamani, Peru"
us7000m04u,2024-02-19 07:57:28.151,-28.4772,-72.2928,10.0,4.4,mb,"150 km W of Vallenar, Chile"
us7000m064,2024-02-19 15:14:15.346,-28.4763,-68.7274,90.456,4.1,mb,"59 km WNW of Vinchina, Argentina"
us7000m07z,2024-02-19 17:44:21.360,-34.889,-72.7276,18.152,4.0,mwr,"57 km NNW of Constitución, Chile"
us7000m0aj,2024-02-20 03:52:00.616,-18.8602,-69.3506,118.432,4.1,mb,"50 km N of Camiña, Chile"
us7000m109,2024-02-23 03:43:21.082,-29.7832,-71.7442,28.814,4.5,mb,"43 km WNW of Coquimbo, Chile"
us7000m10q,2024-02-23 06:23:24.401,-24.1621,-67.0696,191.205,4.1,mb,"76 km W of San Antonio de los Cobres, Argentina"
us7000m11k,2024-02-23 09:38:59.191,-17.4285,-69.5393,160.133,4.6,mb,"52 km ENE of Estique, Peru"
us7000m12g,2024-02-23 12:28:54.278,-25.6442,-69.4988,85.212,4.4,mb,"99 km NNE of Diego de Almagro, Chile"
us7000m16i,2024-02-23 17:12:00.952,-23.501,-66.6268,203.79,4.4,mb,"85 km NNW of San Antonio de los Cobres, Argentina"
us7000m16j,2024-02-23 17:13:27.823,-23.4093,-66.7135,205.982,4.3,mb,"98 km NNW of San Antonio de los Cobres, Argentina"
us7000m1de,2024-02-24 19:04:05.539,-22.9864,-70.2963,57.365,4.5,mb,"19 km NE of Mejillones, Chile"
us7000m1ff,2024-02-25 02:54:04.238,-24.1821,-67.1641,196.547,4.5,mb,"85 km W of San Antonio de los Cobres, Argentina"
us7000m1ft,2024-02-25 04:44:38.544,-22.8609,-67.0893,233.33,4.3,mb,"114 km E of San Pedro de Atacama, Chile"
